batch;Internet;Wireless;BT_Int;BT_Wir
125;0.382553646155136;1.1476609384654082;149;447
126;0.332922386151504;0.9987671584545119;126;378
127;0.329421098416976;0.988263295250928;130;390
128;0.318947522416928;0.9568425672507839;127;381
129;0.37328935685712;1.11986807057136;144;432
130;0.33887571667239996;1.0166271500172;133;399
131;0.34247785042983997;1.0274335512895199;133;399
132;0.27189546499552003;0.81568639498656;98;294
133;0.2916789935411999;0.8750369806236001;109;327
134;0.4142674732536801;1.2428024197610403;155;465
135;0.41087909138750406;1.232637274162512;150;450
136;0.42871165261899197;1.2861349578569756;155;465
137;0.403833936164656;1.211501808493968;153;459
138;0.421287087956592;1.2638612638697764;149;447
139;0.450855262730704;1.3525657881921125;151;453
140;0.455547283347056;1.3666418500411681;140;420
141;0.477636722846432;1.432910168539296;131;393
142;0.3220001511862399;0.96600045355872;91;273
143;0.294731592554352;0.884194777663056;91;273
144;0.37110755937984;1.11332267813952;136;408
145;0.319979035007248;0.959937105021744;137;411
146;0.327467256644832;0.9824017699344961;139;417
147;0.35945992547912;1.0783797764373602;138;414
148;0.377542743483568;1.132628230450704;141;423
149;0.366457107480224;1.099371322440672;144;432
150;0.342178590394832;1.0265357711844958;141;423
151;0.36732000788728003;1.10196002366184;148;444
152;0.33587034113814407;1.0076110234144318;152;456
153;0.34221876380054406;1.026656291401632;154;462
154;0.33141312296174397;0.9942393688852318;143;429
155;0.33374002080779197;1.0012200624233756;141;423
156;0.34166797870844795;1.0250039361253438;139;417
157;0.33776514731222396;1.0132954419366718;137;411
158;0.32695358550327996;0.98086075650984;135;405
159;0.31854624688152;0.9556387406445603;131;393
160;0.328266173830304;0.984798521490912;135;405
161;0.32712570255150397;0.9813771076545121;133;399
162;0.33687931939368;1.01063795818104;134;402
163;0.32983511917889596;0.989505357536688;132;396
164;0.318515613147328;0.955546839441984;136;408
165;0.33932537317896;1.01797611953688;139;417
166;0.32547994758184;0.9764398427455201;133;399
167;0.36248188359539196;1.0874456507861758;140;420
168;0.372864437515552;1.118593312546656;140;420
169;0.29892952603105605;0.896788578093168;122;366
